d;omega;npp;sdmu;mu_a_bel;mu_b_bel;mu_a_brav;mu_b_brav;init_belligerence;init_bravery;time_step;mean_a_bel;mean_b_bel;mean_belligerence;mean_a_brav;mean_b_brav;mean_bravery;var_a_bel;var_b_bel;var_belligerence;var_a_brav;var_b_brav;var_bravery;n_escalated_contests;global_fecundity_total;file
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.416615;0;0.416615;0.525073;0;0.525073;0.00171123;0;0.00171123;0.00122871;0;0.00122871;361;4464.41;./sim_stress_06_08_2023_17324886
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.461646;0;0.461646;0.38273;0;0.38273;0.00141032;0;0.00141032;0.00139817;0;0.00139817;391;4656.93;./sim_stress_06_08_2023_17324887
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.393696;0;0.393696;0.459563;0;0.459563;0.00182167;0;0.00182167;0.00130204;0;0.00130204;312;4646.38;./sim_stress_06_08_2023_17324888
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.4342;0;0.4342;0.326793;0;0.326793;0.0015801;0;0.0015801;0.00233056;0;0.00233056;338;4749.64;./sim_stress_06_08_2023_17324889
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.351238;0;0.351238;0.389811;0;0.389811;0.00165653;0;0.00165653;0.00152455;0;0.00152455;289;4797.52;./sim_stress_06_08_2023_17324890
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.374228;0;0.374228;0.268153;0;0.268153;0.00165208;0;0.00165208;0.00198576;0;0.00198576;283;4866.85;./sim_stress_06_08_2023_17324891
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.279553;0;0.279553;0.310544;0;0.310544;0.00232923;0;0.00232923;0.001578;0;0.001578;245;4913.54;./sim_stress_06_08_2023_17324892
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.314766;0;0.314766;0.213401;0;0.213401;0.00173963;0;0.00173963;0.00256772;0;0.00256772;260;4932.61;./sim_stress_06_08_2023_17324893
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.200129;0;0.200129;0.185087;0;0.185087;0.0034943;0;0.0034943;0.00481091;0;0.00481091;179;4977.15;./sim_stress_06_08_2023_17324894
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.244815;0;0.244815;0.163394;0;0.163394;0.00272085;0;0.00272085;0.00517051;0;0.00517051;203;4970.09;./sim_stress_06_08_2023_17324895
